"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION","KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION","KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION","11/218","68/5266",9.08004467648719e-05,0.00101744530356834,0.000801202408595399,"RAC1/LYN/ATP6V0B/TCIRG1/NFKBIA/ATP6V1B2/PAK1/ATP6V0D1/ATP6V1F/CDC42/ATP6V0E1",11
"KEGG_CARDIAC_MUSCLE_CONTRACTION","KEGG_CARDIAC_MUSCLE_CONTRACTION","KEGG_CARDIAC_MUSCLE_CONTRACTION","12/218","80/5266",9.3201096510077e-05,0.00101744530356834,0.000801202408595399,"COX8A/COX5B/ATP1B3/COX6B1/UQCRQ/UQCR10/COX5A/COX7B/TPM3/UQCR11/UQCRB/UQCRC1",12
"KEGG_ASTHMA","KEGG_ASTHMA","KEGG_ASTHMA","7/218","30/5266",0.000170537310396278,0.00171849135860864,0.00135325153188949,"FCER1G/HLA-DRB1/HLA-DRA/HLA-DPA1/HLA-DPB1/HLA-DMA/HLA-DMB",7
"KEGG_REGULATION_OF_ACTIN_CYTOSKELETON","KEGG_REGULATION_OF_ACTIN_CYTOSKELETON","KEGG_REGULATION_OF_ACTIN_CYTOSKELETON","21/218","216/5266",0.000200911639961249,0.00187995891678026,0.0014804015576092,"CD14/RAC1/ACTB/ARPC5/ARPC1B/RHOA/ARPC3/PAK1/TMSB4X/MSN/CDC42/ARPC4/IQGAP1/WAS/ITGB2/CFL1/ARPC2/MYH9/PFN1/ACTG1/PPP1CB",21
"KEGG_VIBRIO_CHOLERAE_INFECTION","KEGG_VIBRIO_CHOLERAE_INFECTION","KEGG_VIBRIO_CHOLERAE_INFECTION","9/218","56/5266",0.000419736142376317,0.00366569564341984,0.00288660645283362,"ACTB/ATP6V0B/TCIRG1/ATP6V1B2/ATP6V0D1/ATP6V1F/ATP6V0E1/SEC61G/ACTG1",9
"KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION","8/218","48/5266",0.00068331114874485,0.00559461003034846,0.00440555872217074,"TNFSF13B/HLA-DRB1/HLA-DRA/HLA-DPA1/CD86/HLA-DPB1/HLA-DMA/HLA-DMB",8
"KEGG_CHEMOKINE_SIGNALING_PATHWAY","KEGG_CHEMOKINE_SIGNALING_PATHWAY","KEGG_CHEMOKINE_SIGNALING_PATHWAY","18/218","190/5266",0.000788908640343628,0.00580153497513719,0.00456850484181152,"HCK/RAC1/LYN/FGR/NCF1/GNG5/ARRB2/CXCL16/RHOA/NFKBIA/GNAI2/PAK1/STAT2/CDC42/RAP1A/WAS/GNB2/GRB2",18
"KEGG_ALLOGRAFT_REJECTION","KEGG_ALLOGRAFT_REJECTION","KEGG_ALLOGRAFT_REJECTION","7/218","38/5266",0.000797157477499766,0.00580153497513719,0.00456850484181152,"HLA-DRB1/HLA-DRA/HLA-DPA1/CD86/HLA-DPB1/HLA-DMA/HLA-DMB",7
"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION","KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION","KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION","11/218","89/5266",0.00100680623469502,0.00694166403921305,0.00546631639889818,"CTSS/IFI30/HLA-DRB1/HLA-DRA/CTSB/HLA-DPA1/CD4/HLA-DPB1/PSME2/HLA-DMA/HLA-DMB",11
"KEGG_GRAFT_VERSUS_HOST_DISEASE","KEGG_GRAFT_VERSUS_HOST_DISEASE","KEGG_GRAFT_VERSUS_HOST_DISEASE","7/218","42/5266",0.00148043988675328,0.00969688125823399,0.00763595310009587,"HLA-DRB1/HLA-DRA/HLA-DPA1/CD86/HLA-DPB1/HLA-DMA/HLA-DMB",7
"KEGG_TYPE_I_DIABETES_MELLITUS","KEGG_TYPE_I_DIABETES_MELLITUS","KEGG_TYPE_I_DIABETES_MELLITUS","7/218","44/5266",0.00196024690751596,0.0122282068992662,0.00962928305446438,"HLA-DRB1/HLA-DRA/HLA-DPA1/CD86/HLA-DPB1/HLA-DMA/HLA-DMB",7
"KEGG_ADHERENS_JUNCTION","KEGG_ADHERENS_JUNCTION","KEGG_ADHERENS_JUNCTION","9/218","75/5266",0.00352052644208394,0.020963134723318,0.0165077316423074,"RAC1/ACTB/TCF7L2/RHOA/PTPN6/CDC42/IQGAP1/WAS/ACTG1",9
"KEGG_PENTOSE_PHOSPHATE_PATHWAY","KEGG_PENTOSE_PHOSPHATE_PATHWAY","KEGG_PENTOSE_PHOSPHATE_PATHWAY","5/218","27/5266",0.00444498388668997,0.0253170821372342,0.0199363121691358,"TKT/TALDO1/PGLS/ALDOA/PGD",5
"KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS","KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS","KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS","7/218","53/5266",0.00575474323777857,0.0301548545659597,0.0237458878864126,"GPX1/RAC1/TNFRSF1B/BID/CASP1/CAT/TNFRSF1A",7
"KEGG_AUTOIMMUNE_THYROID_DISEASE","KEGG_AUTOIMMUNE_THYROID_DISEASE","KEGG_AUTOIMMUNE_THYROID_DISEASE","7/218","53/5266",0.00575474323777857,0.0301548545659597,0.0237458878864126,"HLA-DRB1/HLA-DRA/HLA-DPA1/CD86/HLA-DPB1/HLA-DMA/HLA-DMB",7
